year2,pref,population
2000,愛知県,7043300
2000,愛媛県,1493092
2000,茨城県,2985676
2000,岡山県,1950828
2000,沖縄県,1318220
2000,岩手県,1416180
2000,岐阜県,2107700
2000,宮崎県,1170007
2000,宮城県,2365320
2000,京都府,2644391
2000,熊本県,1859344
2000,群馬県,2024852
2000,広島県,2878915
2000,香川県,1022890
2000,高知県,813949
2000,佐賀県,876654
2000,埼玉県,6938006
2000,三重県,1857339
2000,山形県,1244147
2000,山口県,1527964
2000,山梨県,888172
2000,滋賀県,1342832
2000,鹿児島県,1786194
2000,秋田県,1189279
2000,新潟県,2475733
2000,神奈川県,8489974
2000,青森県,1475728
2000,静岡県,3767393
2000,石川県,1180977
2000,千葉県,5926285
2000,大阪府,8805081
2000,大分県,1221140
2000,長崎県,1516523
2000,長野県,2215168
2000,鳥取県,613289
2000,島根県,761503
2000,東京都,12064101
2000,徳島県,824108
2000,栃木県,2004817
2000,奈良県,1442795
2000,富山県,1120851
2000,福井県,828944
2000,福岡県,5015699
2000,福島県,2126935
2000,兵庫県,5550574
2000,北海道,5683062
2000,和歌山県,1069912
2005,愛知県,7254704
2005,愛媛県,1467815
2005,茨城県,2975167
2005,岡山県,1957264
2005,沖縄県,1361594
2005,岩手県,1385041
2005,岐阜県,2107226
2005,宮崎県,1153042
2005,宮城県,2360218
2005,京都府,2647660
2005,熊本県,1842233
2005,群馬県,2024135
2005,広島県,2876642
2005,香川県,1012400
2005,高知県,796292
2005,佐賀県,866369
2005,埼玉県,7054243
2005,三重県,1866963
2005,山形県,1216181
2005,山口県,1492606
2005,山梨県,884515
2005,滋賀県,1380361
2005,鹿児島県,1753179
2005,秋田県,1145501
2005,新潟県,2431459
2005,神奈川県,8791597
2005,青森県,1436657
2005,静岡県,3792377
2005,石川県,1174026
2005,千葉県,6056462
2005,大阪府,8817166
2005,大分県,1209571
2005,長崎県,1478632
2005,長野県,2196114
2005,鳥取県,607012
2005,島根県,742223
2005,東京都,12576601
2005,徳島県,809950
2005,栃木県,2016631
2005,奈良県,1421310
2005,富山県,1111729
2005,福井県,821592
2005,福岡県,5049908
2005,福島県,2091319
2005,兵庫県,5590601
2005,北海道,5627737
2005,和歌山県,1035969
2010,愛知県,7410719
2010,愛媛県,1431493
2010,茨城県,2969770
2010,岡山県,1945276
2010,沖縄県,1392818
2010,岩手県,1330147
2010,岐阜県,2080773
2010,宮崎県,1135233
2010,宮城県,2348165
2010,京都府,2636092
2010,熊本県,1817426
2010,群馬県,2008068
2010,広島県,2860750
2010,香川県,995842
2010,高知県,764456
2010,佐賀県,849788
2010,埼玉県,7194556
2010,三重県,1854724
2010,山形県,1168924
2010,山口県,1451338
2010,山梨県,863075
2010,滋賀県,1410777
2010,鹿児島県,1706242
2010,秋田県,1085997
2010,新潟県,2374450
2010,神奈川県,9048331
2010,青森県,1373339
2010,静岡県,3765007
2010,石川県,1169788
2010,千葉県,6216289
2010,大阪府,8865245
2010,大分県,1196529
2010,長崎県,1426779
2010,長野県,2152449
2010,鳥取県,588667
2010,島根県,717397
2010,東京都,13159388
2010,徳島県,785491
2010,栃木県,2007683
2010,奈良県,1400728
2010,富山県,1093247
2010,福井県,806314
2010,福岡県,5071968
2010,福島県,2029064
2010,兵庫県,5588133
2010,北海道,5506419
2010,和歌山県,1002198
2015,愛知県,7483128
2015,愛媛県,1385262
2015,茨城県,2916976
2015,岡山県,1921525
2015,沖縄県,1433566
2015,岩手県,1279594
2015,岐阜県,2031903
2015,宮崎県,1104069
2015,宮城県,2333899
2015,京都府,2610353
2015,熊本県,1786170
2015,群馬県,1973115
2015,広島県,2843990
2015,香川県,976263
2015,高知県,728276
2015,佐賀県,832832
2015,埼玉県,7266534
2015,三重県,1815865
2015,山形県,1123891
2015,山口県,1404729
2015,山梨県,834930
2015,滋賀県,1412916
2015,鹿児島県,1648177
2015,秋田県,1023119
2015,新潟県,2304264
2015,神奈川県,9126214
2015,青森県,1308265
2015,静岡県,3700305
2015,石川県,1154008
2015,千葉県,6222666
2015,大阪府,8839469
2015,大分県,1166338
2015,長崎県,1377187
2015,長野県,2098804
2015,鳥取県,573441
2015,島根県,694352
2015,東京都,13515271
2015,徳島県,755733
2015,栃木県,1974255
2015,奈良県,1364316
2015,富山県,1066328
2015,福井県,786740
2015,福岡県,5101556
2015,福島県,1914039
2015,兵庫県,5534800
2015,北海道,5381733
2015,和歌山県,963579
2020,愛知県,7542415
2020,愛媛県,1334841
2020,茨城県,2867009
2020,岡山県,1888432
2020,沖縄県,1467480
2020,岩手県,1210534
2020,岐阜県,1978742
2020,宮崎県,1069576
2020,宮城県,2301996
2020,京都府,2578087
2020,熊本県,1738301
2020,群馬県,1939110
2020,広島県,2799702
2020,香川県,950244
2020,高知県,691527
2020,佐賀県,811442
2020,埼玉県,7344765
2020,三重県,1770254
2020,山形県,1068027
2020,山口県,1342059
2020,山梨県,809974
2020,滋賀県,1413610
2020,鹿児島県,1588256
2020,秋田県,959502
2020,新潟県,2201272
2020,神奈川県,9237337
2020,青森県,1237984
2020,静岡県,3633202
2020,石川県,1132526
2020,千葉県,6284480
2020,大阪府,8837685
2020,大分県,1123852
2020,長崎県,1312317
2020,長野県,2048011
2020,鳥取県,553407
2020,島根県,671126
2020,東京都,14047594
2020,徳島県,719559
2020,栃木県,1933146
2020,奈良県,1324473
2020,富山県,1034814
2020,福井県,766863
2020,福岡県,5135214
2020,福島県,1833152
2020,兵庫県,5465002
2020,北海道,5224614
2020,和歌山県,922584
